Name,Sym,Atomic Number,Group,Crystal Structure,Atomic Weight,Shells,Orbitals,Valence,Melting Point,Boiling Point,Electro-Negativity,Covalent Radius,Ionic Radius,Atomic Radius,Atomic Volume,First Ionization Potential,Second Ionization Potential,Third Ionization Potential,Oxydation States,Density @ 293 K,Specific Heat,Heat of Vaporization,Heat of Fusion,Electrical Conductivity,Thermal Conductivity,Modulus of Elasticity,Coeficient of Thermal Expansion,Lattice parm,Lattice parm,Lattice parm,Pronounced,Name Origin,Description,Discovered By,Year,Location,Sources.,Uses
Hydrogen,H,1,Non-Metal,Hexagonal,1.00794,1,1s1,1,-255.34°C,-252.87°C,2.2,0.32 Å,1.54 (+1) Å,0.79 Å,14.4 cm³/mol,13.5984 V,--,--,±1,0.00008988 g/cm³,14.304 J/gK,0.44936 kJ/mol,0.05868 kJ/mol,--,0.001815 W/cmK,--,--,--,,,HI-dreh-jen,Greek: hydro (water) and genes (generate),"Tasteless, colorless, odorless gas. The most abundant element in the universe. Tenth most abundant element in the earth's crust.",Henry Cavendish,1766,England,Commercial quantities are produced by reacting superheated steam with methane or carbon. In lab work from reaction of metals with acid solutions or electrolysis.,Most hydrogen is used in the production of ammonia. Also used in balloons and in metal refining. Also used as fuel in rockets. Its two heavier isotopes are: deuterium (D) and tritium (T) used respectively for nuclear fission and fusion.
Helium,He,2,Noble Gas,Hexagonal,4.002602,2,1s2,0,-272.2°C @ 26 atmos.,-268.934°C,0,0.93 Å,--,0.49 Å,19.5 cm³/mol,24.5874 V,54.416 V,--,0,0.0001787 g/cm³,5.193 J/gK,0.0845 kJ/mol,--,--,0.00152 W/cmK,--,--,--,,,HEE-li-em,Greek: hêlios (sun).,"Light, odorless, colorless, tasteless inert gas. Second most abundant element in the universe. Sixth most abundant in the earth's atmosphere.","Sir William Ramsey, Nils Langet, P.T.Cleve",1895,Scotland/Sweden,Found in natural gas deposits & in the air (5 parts per billion) Constantly lost to space; replenished by radioactive decay (alpha particles).,"Used in balloons, deep sea diving & welding. Also used in very low temperature research."
Lithium,Li,3,Alkali Metal,Cubic: Body centered,6.941,"2,1", [He] 2s1,1,180.54°C,1342°C,0.98,1.23 Å,.76 (+1) Å,2.05 Å,13.10 cm³/mol,5.3917 V,76.638 V,122.451 V,1,0.53 g/cm³,3.6 J/gK,145.920 kJ/mol,3.00 kJ/mol,0.108 10^6/cm ohm,0.847 W/cmK,10 10³ MPa,46 10^-6 K^-1,3.5101 Å,,,LITH-i-em,Greek: lithos (stone).,Soft silvery-white metal. Lightest of metals. Accounts for only 0.0007% of the earth's crust.,Johann Arfwedson,1817,Sweden,Obtained by passing electric charge through melted lithium chloride and from the silicate mineral called spodumene [LiAl(Si2O6)].,Used in batteries. Also for certain kinds of glass and ceramics.  Some is used in lubricants.
Beryllium,Be,4,Alkali Earth Metal,Hexagonal,9.012182,"2,2", [He] 2s2,2,1287°C,2472°C,1.57,0.90 Å,.45 (+2) Å,1.40 Å,05.0 cm³/mol,9.3226 V,18.211 V,153.893 V,2,1.848 g/cm³,1.82 J/gK,292.40 kJ/mol,12.20 kJ/mol,0.313 10^6/cm ohm,2.00 W/cmK,301 10³ MPa,11.3 10^-6 K^-1,2.286 Å,,3.584 Å,beh-RIL-i-em,"Greek: beryllos, ""beryl"" (a mineral).","Hard, brittle, steel-gray metal. Lightest rigid metal. Formerly called glucinium (Gl) for its sweet but deadly taste.","Fredrich Wöhler, A.A.Bussy",1798,Germany/France,Found mostly in minerals like beryl [AlBe3(Si6O18)] and chrysoberyl (Al2BeO4). Pure beryllium is obtained by chemically reducing beryl mineral. Also by electrolysis of beryllium chloride.,"Its ability to absorb large amounts of heat makes it useful in spacecraft, missiles, aircraft, etc. Emeralds are beryl crystals with chromium traces giving them their green color."
Boron,B,5,Non-Metal,Rhombohedral,10.811,"2,3", [He] 2s2 2p1,3,2079°C,4000°C,2.04,0.82 Å,.23 (+3) Å,1.17 Å,04.6 cm³/mol,8.2980 V,25.154 V,37.93 V,3,2.34 g/cm³,1.02 J/gK,489.70 kJ/mol,50.20 kJ/mol,1.0e-12 10^6/cm ohm,0.270 W/cmK,441 10³ MPa,4.7 10^-6 K^-1,8.80 Å,,5.05 Å,BO-ron,From Arabic and Persian words for borax.,"Hard, brittle, lustrous black semimetal. Exists in the earth's crust at an average proportion of about 10 parts per million.","Sir H. Davy, J.L. Gay-Lussac, L.J. Thénard",1808,England/France,"Obtained from kernite, a kind of borax (Na2B4O7.10H2O). High purity boron is produced by electrolysis of molten potassium fluroborate and potassium chloride (KCl).",Used with titanium & tungsten to make heat resistant alloys for jets & rockets.
Carbon,C,6,Non-Metal,Hexagonal,12.011,"2,4", [He] 2s2 2p2,"2,3,4",3825°C (Sublimes),4827°C,2.55,0.77 Å,.16 (+4) Å,0.91 Å,04.58 cm³/mol,11.2603 V,24.383 V,47.887 V," (±4),2",2.62 g/cm³,0.71 J/gK,355.80 kJ/mol,--,0.00061 10^6/cm ohm,1.29 W/cmK,7 10³ MPa,1.0 10^-6 K^-1,2.4619 Å,,6.7080 Å,KAR-ben,"Latin: carbo, (charcoal).",Allotropic forms include diamonds and graphite. Sixth most abundant element in the universe.,Known to the ancients,Unknown,Unknown,Made by burning organic compounds with insufficient oxygen.,"For making steel, in filters, and many more uses. Radiocarbon dating uses the carbon-14 isotope to date old objects."
Nitrogen,N,7,Non-Metal,Hexagonal,14.00674,"2,5", [He] 2s2 2p3,"3,5",-209.86°C,-195.8°C,3.04,0.75 Å,1.71 (-3) Å,0.75 Å,17.3 cm³/mol,14.5341 V,29.601 V,47.448 V," (±3),5,4,±2,±1",0.0012506 g/cm³,1.04 J/gK,2.7928 kJ/mol,0.3604 kJ/mol,--,0.0002598 W/cmK,--,240 10^-6 K^-1,--,,,NYE-treh-gen,"Greek: nitron and genes, (soda forming).","Colorless, odorless, tasteless, generally inert gas. Fifth most abundant element in the universe. Makes up about 78% of earth's atmosphere.",Daniel Rutherford,1772,Scotland,Obtained from liquid air by fractional distillation.,"Primarily to produce ammonia and other fertilizers. Also used in making nitric acid, which is used in explosives. Also used in welding and enhanced oil recovery."
Oxygen,O,8,Non-Metal,Cubic,15.9994,"2,6", [He] 2s2 2p4,2,-218.4°C,-182.962°C,3.44,0.73 Å,1.40 (-2) Å,0.65 Å,14.0 cm³/mol,13.6181 V,35.117 V,54.934 V,-2,0.001429 g/cm³,0.92 J/gK,3.4099 kJ/mol,0.22259 kJ/mol,--,0.0002674 W/cmK,--,780 10^-6 K^-1,--,,,OK-si-jen,"Greek: oxys and genes, (acid former).","Colorless, odorless, tasteless gas; pale blue liquid. Third most abundant element in the universe. It is the most abundant element in the earth's crust, and makes up almost 21% of the atmosphere.","Joseph Priestly, Carl Wilhelm Scheele",1774,England/Sweden,Obtained primarily from liquid air by fractional distillation. Small amounts are made in the laboratory by electrolysis of water or heating potassium chlorate (KClO3) with manganese dioxide (MnO2) catalyst.,"Used in steel making, welding, and supporting life. Naturally occuring ozone (O3) in the upper atmosphere shields the earth from ultraviolet radiation."
Fluorine,F,9,Halogen,Cubic,18.9984032,"2,7", [He] 2s2 2p5,1,-219.62°C,-188.14°C,3.98,0.72 Å,1.33 (-1) Å,0.57 Å,12.6 cm³/mol,17.4228 V,34.97 V,62.707 V,-1,0.001696 g/cm³,0.82 J/gK,3.2698 kJ/mol,0.2552 kJ/mol,--,0.000279 W/cmK,--,1800 10^-6 K^-1,--,,,FLU-eh-reen,Latin: fluere (flow).,"Greenish-yellow, pungent, corrosive gas. Extremely reactive. Does not occur uncombined in nature.",Henri Moissan,1886,France,Found in the minerals fluorite (CaF2) and cryolite(Na3AlF6). Electrolysis of hydrofluoric acid (HF) or potassium acid fluoride (KHF2) is the only practical method of commercial production.,Used in refrigerants and other fluorocarbons. Also in toothpaste as sodium fluoride (NaF) and stannous fluoride (SnF2); also in Teflon.
Neon,Ne,10,Noble Gas,Cubic: Face centered,20.1797,"2,8", [He] 2s2 2p6,0,-248.67°C,-246.048°C,0,0.71 Å,--,0.51 Å,17.3 cm³/mol,21.5645 V,40.962 V,63.45 V,0,0.0008999 g/cm³,0.904 J/gK,1.7326 kJ/mol,0.3317 kJ/mol,--,0.000493 W/cmK,--,1900 10^-6 K^-1,--,,,NEE-on,Greek: neos (new).,"Colorless, odorless, tasteless inert gas. Fourth most abundant element in the universe and fifth most abundant in the earth's atmosphere (18.18 ppm).","Sir William Ramsey, M.W. Travers",1898,England,Obtained from production of liquid air as a byproduct of producing liquid oxygen and nitrogen.,Primarily for lighting.
Sodium,Na,11,Alkali Metal,Cubic: Body centered,22.989768,"2,8,1", [Ne] 3s1,1,97.81°C,882.9°C,0.93,1.54 Å,1.02 (+1) Å,2.23 Å,23.7 cm³/mol,5.1391 V,47.286 V,71.641 V,1,0.971 g/cm³,1.23 J/gK,96.960 kJ/mol,2.598 kJ/mol,0.210 10^6/cm ohm,1.41 W/cmK,5 10³ MPa,71 10^-6 K^-1,4.2908 Å,,,SO-di-em,"Medieval Latin: sodanum, (headache remedy); symbol from Latin natrium, (sodium carbonate).",Soft silvery-white metal. Sixth most abundant element in the earth's crust. Burns in air with a brilliant white flame.,Sir Humphrey Davy,1807,England,"Obtained by electrolysis of melted sodium chloride (salt), borax and cryolite.","There are few uses for the pure metal, however its compounds are used in medicine, agriculture and photography. Sodium chloride (NaCl) is table salt. Liquid sodium is sometimes used to cool nuclear reactors."
Magnesium,Mg,12,Alkali Earth Metal,Hexagonal,24.305,"2,8,2", [Ne] 3s2,2,648.8°C,1090°C,1.31,1.36 Å,.72 (+2) Å,1.72 Å,13.97 cm³/mol,7.6462 V,15.035 V,80.143 V,2,1.738 g/cm³,1.02 J/gK,127.40 kJ/mol,8.954 kJ/mol,0.226 10^6/cm ohm,1.56 W/cmK,44.4 10³ MPa,24.8 10^-6 K^-1,3.2095 Å,,5.2107 Å,mag-NEE-zih-em,"From Magnesia ancient city in district of Thessaly, Greece.","Lightweight, malleable, silvery-white metal. Eighth most abundant element in the universe. Seventh most abundant element in the earth's crust.",Sir Humphrey Davy,1808,England,Usually obtained by electrolysis of melted magnesium chloride (MgCl2) found in sea water. Each cubic mile of seawater contains about 12 billion pounds of magnesium.,"Used in alloys to make airplanes, missiles and other uses for light metals. Has structural properties similar to aluminium. But since it is flammable at temperatures of burning gasoline, its uses are limited."
